=== SVM Results for Chapter Level using TF-IDF ===

Training Accuracy: 0.9097
Validation Accuracy: 0.5947
Test Accuracy: 0.6072

Detailed Test Metrics:
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 110    | 0.0          | 0.0          | 0            |
| Class 111    | 0.5          | 0.3571       | 0.4167       |
| Class 112    | 0.5          | 0.3333       | 0.4          |
| Class 113    | 0.6757       | 0.7812       | 0.7246       |
| Class 114    | 0.6667       | 0.6154       | 0.64         |
| Class 115    | 0.5974       | 0.6053       | 0.6013       |
| Class 116    | 0.8438       | 0.6          | 0.7013       |
| Class 117    | 0.4          | 0.2105       | 0.2759       |
| Class 118    | 0.4545       | 0.3333       | 0.3846       |
| Class 119    | 0.5596       | 0.8905       | 0.6873       |
| Class 120    | 0.475        | 0.4419       | 0.4578       |
| Class 121    | 0.4231       | 0.5238       | 0.4681       |
| Class 122    | 0.6774       | 0.6364       | 0.6562       |
| Class 123    | 0.7507       | 0.9343       | 0.8325       |
| Class 124    | 0.0          | 0.0          | 0            |
| Class 125    | 0.4222       | 0.5758       | 0.4872       |
| Class 126    | 0.5349       | 0.4423       | 0.4842       |
| Class 127    | 0.6          | 0.5          | 0.5455       |
| Class 128    | 0.5          | 0.5          | 0.5          |
| Class 129    | 0.6923       | 0.9          | 0.7826       |
| Class 130    | 0.1667       | 0.2          | 0.1818       |
| Class 131    | 0.7692       | 0.7143       | 0.7407       |
| Class 132    | 0.5294       | 0.75         | 0.6207       |
| Class 133    | 0.3571       | 0.5556       | 0.4348       |
| Class 134    | 0.3182       | 0.4375       | 0.3684       |
| Class 135    | 0.7          | 0.6364       | 0.6667       |
| Class 136    | 0.7778       | 0.5          | 0.6087       |
| Class 137    | 0.5          | 0.5          | 0.5          |
| Class 138    | 1.0          | 0.6          | 0.75         |
| Class 139    | 0.6556       | 0.7662       | 0.7066       |
| Class 140    | 0.6316       | 0.72         | 0.6729       |
| Class 141    | 0.5714       | 0.4          | 0.4706       |
| Class 142    | 0.55         | 0.5238       | 0.5366       |
| Class 143    | 0.6452       | 0.5556       | 0.597        |
| Class 144    | 0.3125       | 0.2174       | 0.2564       |
| Class 145    | 0.6441       | 0.7917       | 0.7103       |
| Class 146    | 0.6364       | 0.8235       | 0.7179       |
| Class 147    | 0.9          | 0.8182       | 0.8571       |
| Class 148    | 0.7273       | 0.8571       | 0.7869       |
| Class 149    | 0.6571       | 0.6216       | 0.6389       |
| Class 150    | 0.6          | 0.3333       | 0.4286       |
| Class 151    | 0.4762       | 0.4167       | 0.4444       |
| Class 152    | 0.5455       | 0.3333       | 0.4138       |
| Class 153    | 0.7692       | 0.3846       | 0.5128       |
| Class 154    | 0.4375       | 0.6364       | 0.5185       |
| Class 155    | 0.3056       | 0.3333       | 0.3188       |
| Class 156    | 0.4186       | 0.5143       | 0.4615       |
| Class 157    | 0.7857       | 0.8148       | 0.8          |
| Class 158    | 0.6875       | 0.5789       | 0.6286       |
| Class 159    | 0.5165       | 0.5402       | 0.5281       |
| Class 160    | 0.75         | 0.5          | 0.6          |
| Class 161    | 0.4444       | 0.1739       | 0.25         |
| Class 162    | 1.0          | 0.3333       | 0.5          |
| Class 163    | 0.6          | 0.2812       | 0.383        |
| Class 164    | 0            | 0.0          | 0            |
| Class 165    | 0.6364       | 0.6176       | 0.6269       |
| Class 166    | 1.0          | 0.0909       | 0.1667       |
| Class 167    | 0.3158       | 0.2857       | 0.3          |
