=== SVM Results for Chapter Level using BoW ===

Training Accuracy: 0.8982
Validation Accuracy: 0.5218
Test Accuracy: 0.5226

Detailed Test Metrics:
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 110    | 0            | 0.0          | 0            |
| Class 111    | 0.3333       | 0.2143       | 0.2609       |
| Class 112    | 0.0          | 0.0          | 0            |
| Class 113    | 0.6316       | 0.75         | 0.6857       |
| Class 114    | 0.75         | 0.4615       | 0.5714       |
| Class 115    | 0.55         | 0.5789       | 0.5641       |
| Class 116    | 0.6087       | 0.6222       | 0.6154       |
| Class 117    | 0.3333       | 0.0526       | 0.0909       |
| Class 118    | 0.75         | 0.2          | 0.3158       |
| Class 119    | 0.3636       | 0.8467       | 0.5088       |
| Class 120    | 0.4737       | 0.4186       | 0.4444       |
| Class 121    | 0.4          | 0.381        | 0.3902       |
| Class 122    | 0.5758       | 0.5758       | 0.5758       |
| Class 123    | 0.6364       | 0.9197       | 0.7522       |
| Class 124    | 0.0          | 0.0          | 0            |
| Class 125    | 0.25         | 0.3333       | 0.2857       |
| Class 126    | 0.4884       | 0.4038       | 0.4421       |
| Class 127    | 0.1667       | 0.1667       | 0.1667       |
| Class 128    | 0.2857       | 0.3333       | 0.3077       |
| Class 129    | 0.6129       | 0.6333       | 0.623        |
| Class 130    | 0            | 0.0          | 0            |
| Class 131    | 0.6875       | 0.7857       | 0.7333       |
| Class 132    | 0.4118       | 0.5833       | 0.4828       |
| Class 133    | 0.5          | 0.2222       | 0.3077       |
| Class 134    | 0.3214       | 0.2812       | 0.3          |
| Class 135    | 0.5652       | 0.5909       | 0.5778       |
| Class 136    | 0.5143       | 0.4286       | 0.4675       |
| Class 137    | 0            | 0.0          | 0            |
| Class 138    | 1.0          | 0.2          | 0.3333       |
| Class 139    | 0.4649       | 0.6883       | 0.555        |
| Class 140    | 0.4923       | 0.64         | 0.5565       |
| Class 141    | 0.4          | 0.4          | 0.4          |
| Class 142    | 0.5263       | 0.4762       | 0.5          |
| Class 143    | 0.5172       | 0.4167       | 0.4615       |
| Class 144    | 0.0          | 0.0          | 0            |
| Class 145    | 0.6379       | 0.7708       | 0.6981       |
| Class 146    | 0.575        | 0.6765       | 0.6216       |
| Class 147    | 0.7          | 0.6364       | 0.6667       |
| Class 148    | 0.6471       | 0.7857       | 0.7097       |
| Class 149    | 0.5667       | 0.4595       | 0.5075       |
| Class 150    | 0.6          | 0.3333       | 0.4286       |
| Class 151    | 0.6154       | 0.3333       | 0.4324       |
| Class 152    | 0.25         | 0.0556       | 0.0909       |
| Class 153    | 1.0          | 0.0769       | 0.1429       |
| Class 154    | 0.4062       | 0.5909       | 0.4815       |
| Class 155    | 0.3158       | 0.1818       | 0.2308       |
| Class 156    | 0.6071       | 0.4857       | 0.5397       |
| Class 157    | 0.7188       | 0.8519       | 0.7797       |
| Class 158    | 0.5882       | 0.5263       | 0.5556       |
| Class 159    | 0.4404       | 0.5517       | 0.4898       |
| Class 160    | 1.0          | 0.5          | 0.6667       |
| Class 161    | 0            | 0.0          | 0            |
| Class 162    | 0.6667       | 0.3333       | 0.4444       |
| Class 163    | 0.625        | 0.3125       | 0.4167       |
| Class 164    | 0.0          | 0.0          | 0            |
| Class 165    | 0.5455       | 0.5294       | 0.5373       |
| Class 166    | 0.0          | 0.0          | 0            |
| Class 167    | 0.2857       | 0.1905       | 0.2286       |
| Class 168    | 0.8333       | 0.3571       | 0.5          |
| Class 169    | 0.5          | 0.0714       | 0.125        |
| Class 170    | 0.3571       | 0.3125       | 0.3333       |
| Class 171    | 0.4828       | 0.359        | 0.4118       |
| Class 172    | 0.5526       | 0.7241       | 0.6269       |
| Class 173    | 0.5517       | 0.9412       | 0.6957       |
| Class 174    | 0.7253       | 0.7586       | 0.7416       |
| Class 175    | 0.8571       | 0.3529       | 0.5          |
| Class 176    | 0.4286       | 0.375        | 0.4          |
| Class 177    | 0.7045       | 0.7949       | 0.747        |
| Class 178    | 0.3659       | 0.4286       | 0.3947       |
| Class 179    | 0.5686       | 0.6905       | 0.6237       |
| Class 180    | 0.5          | 0.48         | 0.4898       |
| Class 181    | 0.5          | 0.4848       | 0.4923       |
| Class 182    | 0.5          | 0.4706       | 0.4848       |
| Class 183    | 0.5          | 0.0909       | 0.1538       |
| Class 184    | 0.6667       | 0.4571       | 0.5424       |
| Class 185    | 1.0          | 0.2          | 0.3333       |
| Class 186    | 0.4583       | 0.4074       | 0.4314       |
| Class 187    | 0.625        | 0.625        | 0.625        |
| Class 188    | 0.6316       | 0.48         | 0.5455       |
| Class 189    | 0.6111       | 0.825        | 0.7021       |
| Class 190    | 0.4941       | 0.5753       | 0.5316       |
| Class 191    | 0.5625       | 0.3103       | 0.4          |
| Class 192    | 0.6226       | 0.6735       | 0.6471       |
| Class 193    | 0.4706       | 0.4          | 0.4324       |
| Class 194    | 0.75         | 0.6923       | 0.72         |
| Class 195    | 0.9118       | 0.7045       | 0.7949       |
| Class 196    | 0            | 0.0          | 0            |
| Class 197    | 0.5          | 0.25         | 0.3333       |
| Class 198    | 0.3333       | 0.2          | 0.25         |
| Class 199    | 0.4          | 0.3333       | 0.3636       |
| Class 200    | 0.25         | 0.1579       | 0.1935       |
| Class 201    | 0.3636       | 0.3333       | 0.3478       |
| Class 202    | 0.2          | 0.5          | 0.2857       |
| Class 203    | 1.0          | 0.3333       | 0.5          |
| Class 204    | 0.0          | 0.0          | 0            |
| Class 205    | 0.625        | 0.6897       | 0.6557       |
| Class 206    | 0.7143       | 0.3571       | 0.4762       |
| Class 207    | 0.5667       | 0.5484       | 0.5574       |
| Class 208    | 0.4667       | 0.2692       | 0.3415       |
| Class 209    | 0            | 0.0          | 0            |
| Class 210    | 0.5385       | 0.3333       | 0.4118       |
| Class 211    | 0            | 0.0          | 0            |
| Class 212    | 0.5263       | 0.625        | 0.5714       |
| Class 213    | 0.4          | 0.25         | 0.3077       |
| Class 214    | 0.3333       | 0.25         | 0.2857       |
| Class 215    | 0.4688       | 0.4286       | 0.4478       |
| Class 216    | 0            | 0.0          | 0            |
| Class 217    | 0.4516       | 0.549        | 0.4956       |
| Class 218    | 0.4306       | 0.4627       | 0.446        |
| Class 219    | 0.0          | 0.0          | 0            |
| Class 220    | 0.6154       | 0.4211       | 0.5          |
| Class 221    | 0.4286       | 0.6176       | 0.506        |
| Class 222    | 0.5714       | 0.5          | 0.5333       |
| Class 223    | 0.4286       | 0.2143       | 0.2857       |
| Class 224    | 0.3333       | 0.1111       | 0.1667       |
| Class 225    | 0.5926       | 0.5          | 0.5424       |
| Class 226    | 0.5          | 0.4          | 0.4444       |
| Class 227    | 0.5873       | 0.5873       | 0.5873       |
| Class 228    | 0.5          | 0.25         | 0.3333       |
| Class 229    | 0.3333       | 0.0769       | 0.125        |
| Class 230    | 0.5862       | 0.7391       | 0.6538       |
| Class 231    | 0.3333       | 0.0769       | 0.125        |
| Class 232    | 0.4          | 0.4706       | 0.4324       |
| Class 233    | 0.75         | 0.2308       | 0.3529       |
| Class 234    | 0.4286       | 0.1667       | 0.24         |
| Class 235    | 0.5263       | 0.6452       | 0.5797       |
| Class 236    | 0.375        | 0.3          | 0.3333       |
| Class 237    | 0.4324       | 0.5714       | 0.4923       |
| Class 238    | 0.6081       | 0.7258       | 0.6618       |
| Class 239    | 0.2          | 0.1111       | 0.1429       |
| Class 240    | 0.4286       | 0.5294       | 0.4737       |
| Class 241    | 0.5714       | 0.5          | 0.5333       |
| Class 242    | 0.5231       | 0.6667       | 0.5862       |
| Class 243    | 0            | 0.0          | 0            |
| Class 245    | 0.88         | 0.7586       | 0.8148       |
| Class 247    | 0.5          | 0.2857       | 0.3636       |
| Class 248    | 0.8333       | 0.2778       | 0.4167       |
| Class 249    | 0.2857       | 0.3077       | 0.2963       |
| Class 250    | 0.625        | 0.5556       | 0.5882       |
| Class 251    | 0.3636       | 0.2667       | 0.3077       |
